id,name,Ward_Typology,PCA_1,PCA_2
relation/7848799,Ward 91 Khairatabad,Type D,0.21587212943253728,0.45153075864030817
relation/7848824,Ward 105 Gachibowli,Type D,-0.4450714491892814,0.023677665526925795
relation/7848844,Ward 60 Rajendra Nagar,Type D,-0.7806619971085171,-0.20416445972100897
relation/7848859,Ward 95 Jubilee Hills,Type C,0.5923083355094619,-1.7133225288290295
relation/7849315,Ward 6 Nacharam,Type D,0.04500854010483619,-0.8286838468217789
relation/7849357,Ward 59 Mailardevpally,Type D,-0.8751151638342505,-0.18840424186223095
relation/7849439,Ward 133 Macha Bolarum,Type D,-0.9562932095938526,-0.24796609598642425
relation/7849497,Ward 1 Kapra,Type D,-0.802049985455188,-0.5484678923171022
relation/7849498,Ward 136 Neredmet,Type D,-0.9275732449019719,-0.2554591555817417
relation/7849545,Ward 2 Dr A S Rao Nagar,Type D,-0.2126357708431124,-0.4552758549030338
relation/7849614,Ward 5 Mallapur,Type D,-0.5656926335352617,-0.04087155974149987
relation/7850095,Ward 7 Chilka Nagar,Type D,-0.22202820588810507,0.33683185883655525
relation/7850118,Ward 10 Uppal,Type D,-0.8040067968673743,-0.1379352569175056
relation/7850180,Ward 12 Mansoorabad,Type D,-0.6346043536460063,-0.38348235636136324
relation/7850229,Ward 16 Hasthinapuram,Type D,-0.9335935768088962,-0.24308109577216622
relation/7850230,Ward 14 BN Reddy Nagar,Type D,-0.4472428395127821,-1.074671579661396
relation/7850268,Ward 15 Vanasthalipuram,Type C,0.9884693420168732,-1.8376929451156532
relation/7852324,Ward 139 East Anand Bagh,Type D,-0.10427055033043504,0.44546380254207146
relation/7852364,Ward 20 RK Puram,Type D,-0.528512071591355,0.007562174626466878
relation/7852365,Ward 21 Kothapet,Type D,-0.8082155715032989,-0.21695056903524343
relation/7852446,Ward 8 Habsiguda,Type D,-0.42629978547614966,-0.019198635141984118
relation/7852447,Ward 9 Ramanthapur,Type D,-0.7005002004262565,-0.04475976123592255
relation/7852804,Ward 92 Venkateshwara Colony,Type D,-0.2753365497126528,0.1755004720749604
relation/7852805,Ward 93 Banjara Hills,Type D,-0.6353412830304954,-0.04320475861219945
relation/7852863,Ward 126 Jagathgirigutta,Type D,-0.6088214087671976,-0.03753112089480826
relation/7852864,Ward 124 Alwyn Colony,Type D,-0.8420134224508667,-0.1628003731968021
relation/7852865,Ward 128 Chintal,Type D,0.555773324758387,1.0525192617731414
relation/7852866,Ward 132 Jeedimetla,Type D,-0.6504576447701491,-0.42163833910908954
relation/7852867,Ward 130 Subash Nagar,Type D,-0.6310543322592537,-0.291842045581648
