file_name,crs,feature_count,geometry_type,status
Lakes _ Rivers - Water Quality Monthly Average Data - May 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Govt Hospitals.geojson,EPSG:4326,40,Point,Processed (Spatial)
Hyderabad_Waterways.geojson,EPSG:4326,183,MultiLineString,Processed (Spatial)
Traffic choke points.geojson,EPSG:4326,89,Point,Processed (Spatial)
Hyderabad.csv,N/A,8784,None,Processed (Tabular)
Scheduled_maintenance.geojson,EPSG:4326,2897,Point,Processed (Spatial)
Substation_power_breakdowns.geojson,EPSG:4326,7510,Point,Processed (Spatial)
Bus Stops.geojson,EPSG:4326,7979,Point,Processed (Spatial)
Lakes _ Rivers - Water Quality Monthly Average Data - January 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - 2017.geojson,EPSG:4326,8,Point,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - January 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
Commercial _ Industrial Buildings and Zones (points).geojson,EPSG:4326,647,Point,Processed (Spatial)
Govt Hospitals 2.geojson,EPSG:4326,40,Point,Processed (Spatial)
Area Sabhas.geojson,EPSG:4326,155,MultiPolygon,Processed (Spatial)
Private Arogyasri Empanelled.geojson,EPSG:4326,124,Point,Processed (Spatial)
Private Arogyasri Empanelled 2.geojson,EPSG:4326,124,Point,Processed (Spatial)
Rehabilitation Centers.geojson,EPSG:4326,102,Point,Processed (Spatial)
Lakes _ Rivers - Water Quality Monthly Average Data - February 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Haritha Haram List of Nurseries - 2017.geojson,EPSG:4326,46,Point,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - April 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
ghmc-area.geojson,EPSG:4326,1,MultiPolygon,Processed (Spatial)
Hyderabad Countours.geojson,EPSG:4326,15571,LineString,Processed (Spatial)
Lakes _ Rivers - Water Quality Monthly Average Data - July 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Fire Station Locations.geojson,EPSG:4326,36,Point,Processed (Spatial)
Ward Committees.geojson,EPSG:4326,155,MultiPolygon,Processed (Spatial)
Lakes _ Rivers - Water Quality Monthly Average Data - June 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Haritha Haram - Ward-Wise Performance - Survived.geojson,EPSG:4326,155,MultiPolygon,Processed (Spatial)
Channels_Strahler order 3.geojson,EPSG:4326,2304,LineString,Processed (Spatial)
Lakes _ Rivers - Water Quality Monthly Average Data - March 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Govt Primary Health Clinics.geojson,EPSG:4326,167,Point,Processed (Spatial)
ghmc-wards.geojson,EPSG:4326,145,Polygon,Processed (Spatial)
Haritha Haram - Ward-Wise Performance - Planted.geojson,EPSG:4326,155,MultiPolygon,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - February 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
Lakes _ Rivers - Water Quality Annual Average Data - 2017.geojson,EPSG:4326,37,Point,Processed (Spatial)
GHMC _ HMDA Parks.geojson,EPSG:4326,63,Polygon,Processed (Spatial)
Haritha Haram- Location-Wise Plants Survival Rate.geojson,EPSG:4326,446,Point,Processed (Spatial)
Fire Station Locations 2.geojson,EPSG:4326,36,Point,Processed (Spatial)
Parking spaces.geojson,EPSG:4326,126,Polygon,Processed (Spatial)
2018 Jan-June Noise Pollution - Day-Time.geojson,EPSG:4326,10,Point,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - July 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
Parks - Crowdsourced.geojson,EPSG:4326,1008,Polygon,Processed (Spatial)
Vulnerable Localities.geojson,EPSG:4326,248,Point,Processed (Spatial)
Police Station Locations.geojson,EPSG:4326,60,Point,Processed (Spatial)
Hyderabad 2.csv,N/A,366,None,Processed (Tabular)
Lakes _ Rivers - Water Quality Monthly Average Data - April 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Landfills and Dumpyards Location.geojson,EPSG:4326,11,Polygon,Processed (Spatial)
ghmc-zones.geojson,EPSG:4326,5,MultiPolygon,Processed (Spatial)
2018 Jan-June Noise Pollution - Night-Time.geojson,EPSG:4326,10,Point,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - March 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
Kanti Velugu Phase-2.geojson,EPSG:4326,139,Point,Processed (Spatial)
Haritha Haram- Location-Wise Plants Planted.geojson,EPSG:4326,522,Point,Processed (Spatial)
FPS.geojson,EPSG:4326,2253,Point,Processed (Spatial)
Hyderabad_MMTS_stops.geojson,EPSG:4326,31,Point,Processed (Spatial)
Waterbodies.geojson,EPSG:4326,266,Polygon,Processed (Spatial)
Hyderabad_Railways.geojson,EPSG:4326,393,MultiLineString,Processed (Spatial)
Hyderabad_metro_stations.geojson,EPSG:4326,25,Point,Processed (Spatial)
Urban Junction Improvement Plan.geojson,EPSG:4326,33,Point,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - May 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
Lakes _ Rivers - Water Quality Monthly Average Data - August 2018.geojson,EPSG:4326,28,Point,Processed (Spatial)
Kanti Velugu Phase-1.geojson,EPSG:4326,141,Point,Processed (Spatial)
Locations_of_Power_Substations.geojson,EPSG:4326,55,Polygon,Processed (Spatial)
Stream Segments.geojson,EPSG:4326,5707,Polygon,Processed (Spatial)
Sewage Treatment Plants - Outlet Water Quality - August 2018.geojson,EPSG:4326,8,Point,Processed (Spatial)
Affordable Schools (Govt _ Pvt Aided).geojson,EPSG:4326,6262,Point,Processed (Spatial)
Old Age Shelters.geojson,EPSG:4326,40,Point,Processed (Spatial)
